Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Season,Review Rating,Shipping Type,Previous Purchases,Payment Method
1,55,Male,Blouse,Clothing,53,Kentucky,Winter,3.1,Express,14,Venmo
2,19,Male,Sweater,Clothing,64,Maine,Winter,3.1,Express,2,Cash
3,50,Male,Jeans,Clothing,73,Massachusetts,Spring,3.1,Free Shipping,23,Credit Card
4,21,Male,Sandals,Footwear,90,Rhode Island,Spring,3.5,Next Day Air,49,PayPal
5,45,Male,Blouse,Clothing,49,Oregon,Spring,2.7,Free Shipping,31,PayPal
6,46,Male,Sneakers,Footwear,20,Wyoming,Summer,2.9,Standard,14,Venmo
7,63,Male,Shirt,Clothing,85,Montana,Fall,3.2,Free Shipping,49,Cash
8,27,Male,Shorts,Clothing,34,Louisiana,Winter,3.2,Free Shipping,19,Credit Card
9,26,Male,Coat,Outerwear,97,West Virginia,Summer,2.6,Express,8,Venmo
10,57,Male,Handbag,Accessories,31,Missouri,Spring,4.8,2-Day Shipping,4,Cash
11,53,Male,Shoes,Footwear,34,Arkansas,Fall,4.1,Store Pickup,26,Bank Transfer
12,30,Male,Shorts,Clothing,68,Hawaii,Winter,4.9,Store Pickup,10,Bank Transfer
13,61,Male,Coat,Outerwear,72,Delaware,Winter,4.5,Express,37,Venmo
14,65,Male,Dress,Clothing,51,New Hampshire,Spring,4.7,Express,31,PayPal
15,64,Male,Coat,Outerwear,53,New York,Winter,4.7,Free Shipping,34,Debit Card
16,64,Male,Skirt,Clothing,81,Rhode Island,Winter,2.8,Store Pickup,8,PayPal
17,25,Male,Sunglasses,Accessories,36,Alabama,Spring,4.1,Next Day Air,44,Debit Card
18,53,Male,Dress,Clothing,38,Mississippi,Winter,4.7,2-Day Shipping,36,Venmo
19,52,Male,Sweater,Clothing,48,Montana,Summer,4.6,Free Shipping,17,Cash
20,66,Male,Pants,Clothing,90,Rhode Island,Summer,3.3,Standard,46,Debit Card
21,21,Male,Pants,Clothing,51,Louisiana,Winter,2.8,Express,50,Cash
22,31,Male,Pants,Clothing,62,North Carolina,Winter,4.1,Store Pickup,22,Debit Card
23,56,Male,Pants,Clothing,37,California,Summer,3.2,Store Pickup,32,Debit Card
24,31,Male,Pants,Clothing,88,Oklahoma,Winter,4.4,Express,40,Credit Card
25,18,Male,Jacket,Outerwear,22,Florida,Fall,2.9,Store Pickup,16,Debit Card
26,18,Male,Hoodie,Clothing,25,Texas,Summer,3.6,Express,14,PayPal
27,38,Male,Jewelry,Accessories,20,Nevada,Spring,3.6,Next Day Air,13,Credit Card
28,56,Male,Shorts,Clothing,56,Kentucky,Summer,5,Next Day Air,7,Bank Transfer
29,54,Male,Handbag,Accessories,94,North Carolina,Fall,4.4,Free Shipping,41,PayPal
30,31,Male,Dress,Clothing,48,Wyoming,Fall,4.1,Store Pickup,14,Credit Card
31,57,Male,Jewelry,Accessories,31,North Carolina,Winter,4.7,Standard,16,Credit Card
32,33,Male,Dress,Clothing,79,West Virginia,Winter,4.7,Store Pickup,45,Venmo
33,36,Male,Jacket,Outerwear,67,Kansas,Summer,4.9,Free Shipping,37,Venmo
34,54,Male,Pants,Clothing,38,Colorado,Summer,3.3,Store Pickup,45,Cash
35,36,Male,T-shirt,Clothing,91,North Dakota,Spring,4.6,2-Day Shipping,38,PayPal
36,54,Male,Blouse,Clothing,33,Massachusetts,Summer,4,2-Day Shipping,48,Credit Card
37,35,Male,T-shirt,Clothing,69,Illinois,Winter,4.6,Free Shipping,44,PayPal
38,35,Male,Jeans,Clothing,45,Indiana,Summer,2.8,Store Pickup,10,PayPal
39,29,Male,Dress,Clothing,37,Florida,Winter,3.7,2-Day Shipping,44,Venmo
40,70,Male,Pants,Clothing,60,Arizona,Summer,4.2,Express,18,Credit Card
41,69,Male,Handbag,Accessories,76,Louisiana,Winter,4.6,Next Day Air,31,Debit Card
42,67,Male,Scarf,Accessories,39,Alaska,Spring,4.5,Standard,40,Venmo
43,20,Male,Coat,Outerwear,100,Tennessee,Spring,4.1,Free Shipping,15,PayPal
44,25,Male,Scarf,Accessories,69,Ohio,Fall,3.7,Store Pickup,19,PayPal
45,39,Male,Hat,Accessories,53,Kentucky,Summer,4.6,Free Shipping,45,PayPal
46,50,Male,Socks,Clothing,21,Tennessee,Fall,2.9,2-Day Shipping,25,PayPal
47,57,Male,Shirt,Clothing,43,California,Summer,2.9,Store Pickup,45,Cash
48,55,Male,Jewelry,Accessories,54,Montana,Winter,4.5,Free Shipping,36,Cash
49,42,Male,Shirt,Clothing,55,Nevada,Summer,2.7,Store Pickup,38,Cash
50,68,Male,Hoodie,Clothing,30,New Jersey,Spring,4.6,Next Day Air,34,Debit Card
51,49,Male,Blouse,Clothing,28,Maryland,Spring,3.7,Store Pickup,39,Debit Card
52,59,Male,Skirt,Clothing,59,Vermont,Winter,4.7,2-Day Shipping,7,Credit Card
53,42,Male,T-shirt,Clothing,20,Alaska,Summer,2.6,Free Shipping,26,Credit Card
54,29,Male,Skirt,Clothing,24,Mississippi,Winter,3.9,Next Day Air,35,Credit Card
55,47,Male,Coat,Outerwear,94,New Mexico,Summer,4.2,Next Day Air,35,Debit Card
56,40,Male,Jacket,Outerwear,28,South Carolina,Winter,3,2-Day Shipping,49,Credit Card
57,41,Male,Backpack,Accessories,73,Mississippi,Summer,4.7,Store Pickup,46,Credit Card
58,21,Male,Coat,Outerwear,64,West Virginia,Summer,4.4,Store Pickup,17,Debit Card
59,69,Male,Hoodie,Clothing,54,Missouri,Summer,4.2,Free Shipping,29,Venmo
60,63,Male,Belt,Accessories,79,Louisiana,Spring,4.6,Standard,4,Debit Card
61,50,Male,Sweater,Clothing,37,Idaho,Summer,4,Express,17,Cash
62,55,Male,Scarf,Accessories,68,Texas,Winter,4.7,Store Pickup,21,Credit Card
63,30,Male,Sneakers,Footwear,21,Mississippi,Spring,3.8,Free Shipping,31,Credit Card
64,33,Male,Sunglasses,Accessories,79,Arizona,Winter,2.7,2-Day Shipping,43,Credit Card
65,65,Male,Boots,Footwear,83,Alabama,Fall,4.8,Standard,18,Debit Card
66,65,Male,Backpack,Accessories,36,New Jersey,Spring,4.8,2-Day Shipping,44,Venmo
67,31,Male,Blouse,Clothing,94,Pennsylvania,Winter,4.7,2-Day Shipping,3,Venmo
68,45,Male,Coat,Outerwear,33,Connecticut,Winter,4.4,Store Pickup,49,Debit Card
69,57,Male,Handbag,Accessories,46,Utah,Summer,3.9,Next Day Air,21,Cash
70,48,Male,Belt,Accessories,70,Tennessee,Summer,4.4,Express,5,Cash
71,22,Male,Belt,Accessories,29,Alabama,Fall,4.2,Express,32,Debit Card
72,36,Male,Dress,Clothing,48,Virginia,Summer,2.9,Express,34,Bank Transfer
73,18,Male,Dress,Clothing,26,Georgia,Winter,2.9,Store Pickup,21,Bank Transfer
74,48,Male,Pants,Clothing,85,Hawaii,Spring,2.7,Free Shipping,43,Bank Transfer
75,49,Male,Gloves,Accessories,58,Indiana,Spring,4.5,Express,3,Cash
